00:02.212  blend            | Read blend: "/Users/macbookpro14/.codex/worktrees/pachangas-reward-chest-animation/artifacts/reward-chest/recovered.blend"
INFO Draco mesh compression is available, use library at /Applications/Blender.app/Contents/Resources/5.1/scripts/addons_core/io_scene_gltf2/libextern_draco.dylib
22:28:32 | INFO: Starting glTF 2.0 export
22:28:32 | INFO: Extracting primitive: Blue_Light_Core_1_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Blue_Light_Core_2_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Blue_Light_Core_3_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Blue_Light_Core_4_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Blue_Light_Strips_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Blue_Light_Strips_Back_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Blue_Light_Strips_Left_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Blue_Light_Strips_Right_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cube.002
22:28:32 | INFO: Primitives created: 2
22:28:32 | INFO: Extracting primitive: Cube.008
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Cube.014
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Exterior_Logo_Centre_Circle_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Exterior_Logo_Field_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Exterior_Logo_Field_2_Curve
22:28:32 | INFO: Primitives created: 1
22:28:32 | INFO: Extracting primitive: Exterior_Logo_Field_3_Curve
22:28:32 | INFO: Primitives created: 1
