candidateId,challengeQuality,composite,competitionWeight,oppositionWeight,predictiveUplift,qualityWeight,territorialCandidateRecall20,territorialFutureCandidateRecall20,territorialFutureNdcg10,territorialNdcg10,territorialTop10Churn,volumeAdvantage,volumeModel
elite-window-recent_20,competitive,0.587098,45,15,9.7551,40,0.6,0.6,0.479,0.4969,0.3551,0.0695,recent_20
elite-window-recent_25,competitive,0.594272,45,15,10.7528,40,0.6,0.6,0.4818,0.4947,0.2653,0.1385,recent_25
elite-window-recent_30,competitive,0.607668,45,15,11.2165,40,0.6,0.6,0.5041,0.5393,0.2245,0.1856,recent_30
elite-window-all_saturated,competitive,0.605337,45,15,11.1183,40,0.6,0.6,0.4749,0.5605,0.1918,0.2227,all_saturated
elite-window-hybrid_70_30,competitive,0.594208,45,15,10.3665,40,0.6,0.6,0.498,0.5194,0.2959,0.1608,hybrid_70_30
elite-quality-full,full,0.617886,45,15,10.0582,40,0.6,0.6,0.4826,0.5796,0.2327,0.0502,recent_30
elite-quality-competitive,competitive,0.607668,45,15,11.2165,40,0.6,0.6,0.5041,0.5393,0.2245,0.1856,recent_30
elite-quality-challenge_calibrated,challenge_calibrated,0.47969,45,15,8.361,40,0.4,0.5,0.3509,0.3657,0.2776,0.1726,recent_30
elite-weight-35-40-25,full,0.610067,40,25,10.6063,35,0.6,0.6,0.4878,0.5348,0.2327,0.0865,recent_30
elite-weight-35-45-20,full,0.601028,45,20,10.0556,35,0.6,0.6,0.4594,0.5286,0.2531,0.0684,recent_30
elite-weight-35-50-15,full,0.594286,50,15,9.4482,35,0.6,0.6,0.44,0.5162,0.251,0.0519,recent_30
elite-weight-40-35-25,full,0.665928,35,25,11.2095,40,0.7,0.7,0.5313,0.5707,0.1959,0.0838,recent_30
elite-weight-40-40-20,full,0.664618,40,20,10.731,40,0.7,0.7,0.5238,0.5837,0.2122,0.0663,recent_30
elite-weight-40-45-15,full,0.617886,45,15,10.0582,40,0.6,0.6,0.4826,0.5796,0.2327,0.0502,recent_30
elite-weight-40-50-10,full,0.605036,50,10,9.8597,40,0.6,0.6,0.4542,0.5423,0.251,0.0355,recent_30
elite-weight-45-30-25,full,0.690441,30,25,11.9578,45,0.7,0.7,0.5899,0.6168,0.1755,0.0797,recent_30
elite-weight-45-35-20,full,0.683621,35,20,11.6696,45,0.7,0.7,0.5753,0.6018,0.1939,0.0633,recent_30
elite-weight-45-40-15,full,0.670429,40,15,10.8852,45,0.7,0.7,0.5281,0.593,0.2041,0.0478,recent_30
elite-weight-45-45-10,full,0.642253,45,10,10.2982,45,0.7,0.6,0.5007,0.5796,0.2245,0.0334,recent_30
elite-weight-50-30-20,full,0.692968,30,20,11.9206,50,0.7,0.7,0.5899,0.6207,0.1755,0.0594,recent_30
elite-weight-50-35-15,full,0.691049,35,15,11.4798,50,0.7,0.7,0.5964,0.6168,0.1918,0.0448,recent_30
elite-weight-50-40-10,full,0.679937,40,10,11.4128,50,0.7,0.7,0.5577,0.593,0.2041,0.0309,recent_30
elite-weight-55-30-15,full,0.720613,30,15,11.9081,55,0.8,0.7,0.6245,0.6294,0.1673,0.0413,recent_30
elite-weight-55-35-10,full,0.69879,35,10,11.5855,55,0.7,0.7,0.6117,0.6274,0.1816,0.0282,recent_30
