futureCandidateRecall20Median,futureNdcg10Median,ndcg10Median,predictiveUpliftTop100,rankErrorMedian,recall20Median,seed,territories
0.7,0.6252,0.695,11.6983,9.6,0.8,20260809,48
0.7,0.6237,0.6731,12.303,8.8,0.8,20268728,42
0.7,0.6195,0.7344,12.816,8.8,0.8,20276647,48
0.7,0.6286,0.7056,11.8144,11.6,0.7,20284566,46
0.7,0.6223,0.7049,12.7907,9.3,0.8,20292485,48
0.7,0.6028,0.7275,12.2414,8.7,0.8,20300404,47
0.7,0.6349,0.7571,11.5365,8.3,0.8,20308323,48
0.7,0.5808,0.6745,11.9501,11,0.8,20316242,47
0.7,0.5793,0.6958,11.9652,9.7,0.7,20324161,45
0.6,0.6061,0.6822,11.2526,10.9,0.7,20332080,45
0.8,0.6326,0.68,12.2933,9.4,0.8,20339999,46
0.7,0.642,0.7604,12.3476,9.5,0.8,20347918,43
0.7,0.6157,0.7445,12.9314,9.2,0.8,20355837,49
0.7,0.5706,0.7032,12.4893,9.6,0.8,20363756,45
0.7,0.6045,0.7025,12.5339,10.4,0.8,20371675,45
0.7,0.6367,0.7208,12.62,8.4,0.8,20379594,46
0.7,0.5953,0.6509,12.77,9.8,0.8,20387513,45
0.7,0.6115,0.6949,12.7129,9.8,0.8,20395432,45
0.7,0.6416,0.7177,12.2899,9,0.8,20403351,49
0.7,0.5588,0.7165,12.0789,8.6,0.8,20411270,45
