density,eligiblePlayers,scopeCode,scopeName,scopeType,truth,candidateRecallAt20,meanRankErrorTop10,medianRankErrorTop10,ndcgAt10,ndcgAt20,overlapAt10,precisionAt10,recallAt10,top10NearMissRate
medium,107,20,Gipuzkoa,province,future,0.8,8.8,7,0.5938,0.7988,4,0.4,0.4,0.6667
dense,295,48,Bizkaia,province,future,0.4,35.2,29,0.5256,0.5317,3,0.3,0.3,0
dense,314,35,Las Palmas,province,future,0.6,15,8,0.5171,0.6606,4,0.4,0.4,0.3333
dense,181,30,Murcia,province,future,0.7,12.4,5,0.4688,0.6924,4,0.4,0.4,0.3333
medium,88,47,Valladolid,province,future,0.8,11.5,2,0.7449,0.7739,8,0.8,0.8,0
small,75,42,Soria,province,future,0.8,9.4,6,0.5868,0.7645,4,0.4,0.4,0.3333
dense,215,03,Alicante/Alacant,province,future,0.6,23.6,9,0.4539,0.574,4,0.4,0.4,0.3333
medium,165,17,Girona,province,future,0.8,9,6,0.6476,0.8066,5,0.5,0.5,0.4
medium,132,39,Cantabria,province,future,0.5,26.5,11,0.541,0.6464,3,0.3,0.3,0.2857
dense,267,29,Málaga,province,future,0.7,18.5,7,0.558,0.7262,4,0.4,0.4,0.3333
dense,296,41,Sevilla,province,future,0.3,65.8,66,0.2323,0.3614,3,0.3,0.3,0
dense,290,11,Cádiz,province,future,0,55.6,46,0.089,0.246,0,0,0,0
dense,324,08,Barcelona,province,future,0.3,75.5,84,0.2718,0.427,2,0.2,0.2,0
medium,109,02,Albacete,province,future,0.6,8.9,4,0.7305,0.7027,5,0.5,0.5,0.2
small,68,05,Ávila,province,future,0.7,14.8,8,0.4944,0.7295,4,0.4,0.4,0.1667
medium,149,36,Pontevedra,province,future,0.7,14.5,9,0.6175,0.761,4,0.4,0.4,0
dense,295,46,Valencia/València,province,future,0.4,28.4,21,0.3555,0.5527,2,0.2,0.2,0.25
medium,127,14,Córdoba,province,future,0.5,15.7,10,0.447,0.6282,2,0.2,0.2,0.125
medium,140,12,Castellón/Castelló,province,future,0.5,23.4,16,0.3539,0.6742,3,0.3,0.3,0
medium,134,15,A Coruña,province,future,0.6,17.2,9,0.5133,0.6838,3,0.3,0.3,0.4286
dense,301,28,Madrid,province,future,0.7,16.2,7,0.5714,0.742,5,0.5,0.5,0.2
medium,55,06,Badajoz,province,future,0.7,8.9,5,0.6493,0.7494,5,0.5,0.5,0.4
medium,131,50,Zaragoza,province,future,0.7,15.5,4,0.6836,0.7579,5,0.5,0.5,0
medium,97,23,Jaén,province,future,0.9,7.8,6,0.6568,0.8272,6,0.6,0.6,0.25
medium,123,31,Navarra,province,future,0.8,9.6,3,0.6419,0.7809,6,0.6,0.6,0.25
medium,87,27,Lugo,province,future,0.7,13,5,0.7324,0.7647,6,0.6,0.6,0
small,65,51,Ceuta,province,future,0.9,5.8,3,0.6245,0.8751,6,0.6,0.6,0.5
medium,179,43,Tarragona,province,future,0.7,14.8,7,0.4392,0.6153,4,0.4,0.4,0.3333
medium,104,38,Santa Cruz de Tenerife,province,future,0.8,8.2,5,0.5113,0.7677,5,0.5,0.5,0.2
medium,118,37,Salamanca,province,future,0.4,22.9,18,0.3176,0.4956,3,0.3,0.3,0.1429
medium,79,13,Ciudad Real,province,future,0.9,8.2,4,0.7932,0.8458,6,0.6,0.6,0.25
small,47,34,Palencia,province,future,0.7,7.9,2,0.9001,0.884,7,0.7,0.7,0
medium,150,21,Huelva,province,future,0.6,20.6,8,0.4411,0.6805,3,0.3,0.3,0.1429
medium,65,25,Lleida,province,future,0.9,9.7,6,0.6431,0.8338,5,0.5,0.5,0.2
medium,59,24,León,province,future,0.8,8.8,6,0.6481,0.858,6,0.6,0.6,0.25
medium,110,26,La Rioja,province,future,0.4,19.7,15,0.4876,0.5331,4,0.4,0.4,0
small,29,52,Melilla,province,future,1,4.2,4,0.862,0.9426,8,0.8,0.8,0.5
medium,91,33,Asturias,province,future,0.7,10.6,5,0.6673,0.8129,6,0.6,0.6,0.25
medium,104,18,Granada,province,future,0.8,11,2,0.7294,0.8753,6,0.6,0.6,0.5
medium,151,45,Toledo,province,future,0.3,27.5,15,0.3627,0.5951,2,0.2,0.2,0.125
medium,120,01,Araba/Álava,province,future,0.4,22.3,20,0.2476,0.4226,2,0.2,0.2,0
medium,108,07,Illes Balears,province,future,0.7,15.3,3,0.7358,0.8023,6,0.6,0.6,0
medium,69,10,Cáceres,province,future,0.7,6.9,3,0.8263,0.8246,6,0.6,0.6,0.25
small,85,44,Teruel,province,future,0.7,11,7,0.7073,0.7998,3,0.3,0.3,0.4286
small,39,16,Cuenca,province,future,1,2.7,3,0.9496,0.977,9,0.9,0.9,1
small,66,09,Burgos,province,future,0.9,4.8,2,0.9455,0.9437,8,0.8,0.8,0
medium,97,04,Almería,province,future,0.9,8.2,6,0.7238,0.8107,7,0.7,0.7,0.3333
small,33,19,Guadalajara,province,future,1,5.3,3,0.7264,0.9219,6,0.6,0.6,0.5
medium,135,32,Ourense,province,future,0.7,15.4,6,0.6364,0.7574,5,0.5,0.5,0
small,64,49,Zamora,province,future,0.8,6.4,3,0.8039,0.8537,6,0.6,0.6,0.5
small,54,22,Huesca,province,future,0.9,6.8,4,0.7744,0.8964,6,0.6,0.6,0.5
small,71,40,Segovia,province,future,1,3.4,2,0.7992,0.9065,8,0.8,0.8,1
