density,eligiblePlayers,scopeCode,scopeName,scopeType,truth,candidateRecallAt20,meanRankErrorTop10,medianRankErrorTop10,ndcgAt10,ndcgAt20,overlapAt10,precisionAt10,recallAt10,top10NearMissRate
medium,160,20,Gipuzkoa,province,season_merit,0.7,13.7,7,0.6892,0.8249,5,0.5,0.5,0.2
dense,377,48,Bizkaia,province,season_merit,0.6,28.3,7,0.5289,0.6947,4,0.4,0.4,0.1667
dense,404,35,Las Palmas,province,season_merit,0.6,19,7,0.3797,0.5573,4,0.4,0.4,0.3333
dense,226,30,Murcia,province,season_merit,0.6,13.7,8,0.5721,0.7201,4,0.4,0.4,0
medium,105,47,Valladolid,province,season_merit,0.9,6.7,2,0.729,0.8505,6,0.6,0.6,0.75
small,85,42,Soria,province,season_merit,0.6,16.3,13,0.4359,0.7914,3,0.3,0.3,0.2857
dense,365,03,Alicante/Alacant,province,season_merit,0.6,24.3,14,0.2978,0.6665,2,0.2,0.2,0.25
medium,196,17,Girona,province,season_merit,0.7,13,2,0.6207,0.8241,6,0.6,0.6,0.25
medium,198,39,Cantabria,province,season_merit,0.6,13.2,6,0.7598,0.8149,5,0.5,0.5,0.2
dense,362,29,Málaga,province,season_merit,0.4,24.3,19,0.4317,0.6069,2,0.2,0.2,0.125
dense,381,41,Sevilla,province,season_merit,0.7,15.5,6,0.4962,0.7355,3,0.3,0.3,0.4286
dense,384,11,Cádiz,province,season_merit,0.4,29.7,14,0.431,0.5241,2,0.2,0.2,0.25
dense,429,08,Barcelona,province,season_merit,0.6,45.6,6,0.5884,0.6137,5,0.5,0.5,0.2
medium,143,02,Albacete,province,season_merit,0.7,13.3,6,0.7711,0.7956,6,0.6,0.6,0
small,88,05,Ávila,province,season_merit,0.7,11.3,4,0.5206,0.792,5,0.5,0.5,0.2
medium,206,36,Pontevedra,province,season_merit,0.7,12.3,4,0.6784,0.802,5,0.5,0.5,0.2
dense,354,46,Valencia/València,province,season_merit,0.8,9.7,3,0.747,0.8155,6,0.6,0.6,0.5
medium,194,14,Córdoba,province,season_merit,0.4,20.6,18,0.435,0.6408,2,0.2,0.2,0
