confidenceAtCutoff,integrityStatus,playerId,provinceCode,rank,recentActivityRequired,score,singleMatchDependencyRate,uniqueOpponents,validChallenges,weightedChallenges
0.6656,clean,player-00002,20,1,12,777.38,0.1047,21,45,27.25
0.6656,clean,player-05516,20,2,12,772,0.1047,13,19,17.75
0.6656,clean,player-05513,20,3,12,765.78,0.1047,12,19,18
0.6656,clean,player-04523,20,4,12,762.47,0.1047,14,24,20.5
0.6656,clean,player-05518,20,5,12,758.77,0.1047,12,19,17.75
0.6656,clean,player-05515,20,6,12,750.27,0.1047,11,18,17
0.6656,clean,player-00001,20,7,12,742.53,0.1047,19,40,26
0.6656,clean,player-04524,20,8,12,739.52,0.1047,16,26,22
0.6656,clean,player-05511,20,9,12,738.39,0.1047,12,18,16.75
0.6656,clean,player-00662,20,10,12,736.48,0.1047,16,30,27.25
0.5033,clean,player-06352,48,1,12,803.53,0.0568,18,24,24
0.5033,clean,player-02859,48,2,12,802.38,0.0568,21,29,29
0.5033,clean,player-00758,48,3,12,798.54,0.0568,23,33,28.5
0.5033,clean,player-03901,48,4,12,795.32,0.0568,18,29,26.75
0.5033,clean,player-06357,48,5,12,783.6,0.0568,17,20,20
0.5033,clean,player-01604,48,6,12,779.35,0.0568,18,25,24.5
0.5033,clean,player-03910,48,7,12,774.54,0.0568,20,29,27.5
0.5033,clean,player-06354,48,8,12,773.95,0.0568,14,19,19
0.5033,clean,player-02133,48,9,12,771.85,0.0568,23,30,29.22
0.5033,clean,player-09804,48,10,12,770.89,0.0568,19,26,26
0.6287,clean,player-01438,35,1,12,821.4,0.0435,24,40,28.25
0.6287,clean,player-08290,35,2,12,808.53,0.0435,17,21,21
0.6287,clean,player-06010,35,3,12,806.65,0.0435,15,25,23.75
0.6287,clean,player-06001,35,4,12,802.68,0.0435,14,20,19.5
0.6287,clean,player-08288,35,5,12,801.94,0.0435,18,22,22
0.6287,clean,player-01440,35,6,12,798.14,0.0435,21,33,28.25
0.6287,clean,player-00027,35,7,12,791.94,0.0435,22,43,26.25
0.6287,clean,player-05575,35,8,12,788.28,0.0435,15,27,23
0.6287,clean,player-00447,35,9,12,784.15,0.0435,26,46,28.5
0.6287,clean,player-06471,35,10,12,780.72,0.0435,21,22,22
0.5824,clean,player-08462,30,1,12,800.95,0.1189,17,25,23.5
0.5824,clean,player-08465,30,2,12,798.22,0.1189,18,23,22.5
0.5824,clean,player-03858,30,3,12,795.74,0.1189,19,28,26.5
0.5824,clean,player-08463,30,4,12,790.8,0.1189,16,21,20.5
0.5824,clean,player-07661,30,5,12,786.31,0.1189,16,28,26.5
0.5824,clean,player-03854,30,6,12,783.24,0.1189,16,24,23
0.5824,clean,player-07663,30,7,12,777.34,0.1189,17,25,24
0.5824,clean,player-03855,30,8,12,770.72,0.1189,18,29,27.25
0.5824,clean,player-03465,30,9,12,770.41,0.1189,14,18,18
0.5824,clean,player-04298,30,10,12,769.6,0.1189,14,23,20.75
0.6243,clean,player-03057,47,1,12,771.34,0.0386,21,38,27.75
0.6243,clean,player-03060,47,2,12,759.16,0.0386,18,33,28
0.6243,clean,player-09280,47,3,12,753.95,0.0386,13,21,19.5
0.6243,clean,player-00700,47,4,12,751.28,0.0386,10,20,16.75
0.6243,clean,player-03051,47,5,12,742.7,0.0386,19,36,28
0.6243,clean,player-03056,47,6,12,737.16,0.0386,19,38,27
0.6243,clean,player-03304,47,7,12,736.99,0.0386,17,32,27.25
0.6243,clean,player-00691,47,8,12,728.08,0.0386,12,24,20
0.6243,clean,player-06486,47,9,12,726.1,0.0386,11,23,20
0.6243,clean,player-09272,47,10,12,725.37,0.0386,11,20,17
0.5783,clean,player-00061,42,1,12,829.83,0.0484,14,35,21.25
0.5783,clean,player-09927,42,2,12,771.81,0.0484,16,29,25.75
0.5783,clean,player-00067,42,3,12,765.7,0.0484,14,40,21
0.5783,clean,player-00064,42,4,12,762.55,0.0484,13,37,21.25
0.5783,clean,player-05713,42,5,12,758.78,0.0484,9,20,14.5
0.5783,clean,player-00066,42,6,12,756.08,0.0484,13,39,20.75
0.5783,clean,player-01394,42,7,12,753.44,0.0484,15,29,24.5
0.5783,clean,player-06981,42,8,12,750.19,0.0484,10,20,16.5
0.5783,clean,player-01393,42,9,12,742.93,0.0484,16,34,25.5
0.5783,clean,player-01399,42,10,12,741.04,0.0484,14,27,23
0.5931,clean,player-03707,03,1,12,789.98,0.2283,16,20,18.75
0.5931,clean,player-02730,03,2,12,786.73,0.2283,23,31,29
0.5931,clean,player-09351,03,3,12,778.62,0.2283,15,15,15
0.5931,clean,player-06105,03,4,12,778.33,0.2283,14,16,15.5
0.5931,clean,player-07434,03,5,12,774.85,0.2283,16,16,16
0.5931,clean,player-06325,03,6,12,774.29,0.2283,16,21,21
0.5931,clean,player-05910,03,7,12,773.66,0.2283,15,19,19
0.5931,clean,player-00629,03,8,12,773.21,0.2283,18,25,24
0.5931,clean,player-03503,03,9,12,770.17,0.2283,26,37,27.75
0.5931,clean,player-03817,03,10,12,769.87,0.2283,14,19,19
0.704,clean,player-05353,17,1,12,820.95,0,19,27,25.25
0.704,clean,player-05357,17,2,12,818.07,0,18,30,28.25
0.704,clean,player-05351,17,3,12,811.54,0,18,27,24.75
0.704,clean,player-05354,17,4,12,795.72,0,19,25,24.5
0.704,clean,player-05359,17,5,12,793.9,0,21,30,28.75
0.704,clean,player-05352,17,6,12,784.42,0,18,29,27.25
0.704,clean,player-05360,17,7,12,782.37,0,19,28,27
0.704,clean,player-01934,17,8,12,777.61,0,22,38,27
0.704,clean,player-01935,17,9,12,774.03,0,22,41,27.75
0.704,clean,player-01940,17,10,12,770.97,0,20,34,26.5
0.5662,clean,player-07902,39,1,12,814.21,0.0385,13,21,20
0.5662,clean,player-08171,39,2,12,795.3,0.0385,18,27,26
0.5662,clean,player-07403,39,3,12,769.61,0.0385,19,32,27.75
0.5662,clean,player-08179,39,4,12,762.82,0.0385,14,24,22.5
0.5662,clean,player-08109,39,5,12,762.19,0.0385,15,19,19
0.5662,clean,player-00802,39,6,12,760.46,0.0385,20,38,26.75
0.5662,clean,player-07906,39,7,12,753.13,0.0385,13,18,18
0.5662,clean,player-00809,39,8,12,752.03,0.0385,20,39,26.75
0.5662,clean,player-08172,39,9,12,751.37,0.0385,14,24,21.25
0.5662,clean,player-04955,39,10,12,751.14,0.0385,12,18,17.5
0.6673,clean,player-09300,29,1,12,829.15,0.0902,20,29,27
0.6673,clean,player-00412,29,2,12,819.72,0.0902,14,21,21
0.6673,clean,player-08999,29,3,12,819.58,0.0902,14,17,17
0.6673,clean,player-09299,29,4,12,813.78,0.0902,21,29,28
0.6673,clean,player-05274,29,5,12,813.5,0.0902,20,29,26.75
0.6673,clean,player-05271,29,6,12,812.27,0.0902,19,24,22.75
0.6673,clean,player-00158,29,7,12,804.35,0.0902,22,33,27.25
0.6673,clean,player-00159,29,8,12,803.13,0.0902,25,35,27.75
0.6673,clean,player-08994,29,9,12,802.07,0.0902,16,20,19.5
0.6673,clean,player-09297,29,10,12,801.36,0.0902,20,29,27.5
0.5486,clean,player-05224,41,1,12,816.27,0.0075,14,20,19
0.5486,clean,player-04141,41,2,12,813.67,0.0075,27,33,30
0.5486,clean,player-01861,41,3,12,809.53,0.0075,24,37,29
0.5486,clean,player-04148,41,4,12,808.72,0.0075,23,25,25
0.5486,clean,player-05221,41,5,12,807.87,0.0075,16,22,21.5
0.5486,clean,player-02772,41,6,12,802.24,0.0075,25,32,29.5
0.5486,clean,player-05223,41,7,12,802,0.0075,14,19,18.5
0.5486,clean,player-01911,41,8,12,800.28,0.0075,23,36,28.5
0.5486,clean,player-04142,41,9,12,799.66,0.0075,22,28,28
0.5486,clean,player-08689,41,10,12,796.26,0.0075,14,16,16
0.7313,clean,player-07075,11,1,12,807.45,0.0485,18,28,26
0.7313,clean,player-01889,11,2,12,800.91,0.0485,25,38,29.5
0.7313,clean,player-05026,11,3,12,786.64,0.0485,14,17,17
0.7313,clean,player-01174,11,4,12,785.58,0.0485,26,42,29
0.7313,clean,player-00701,11,5,12,784.57,0.0485,21,31,28.5
0.7313,clean,player-06135,11,6,12,784.57,0.0485,24,33,28.75
0.7313,clean,player-06132,11,7,12,780.96,0.0485,24,29,28.5
0.7313,clean,player-01883,11,8,12,780,0.0485,22,37,29
0.7313,clean,player-05543,11,9,12,779.01,0.0485,14,17,17
0.7313,clean,player-01887,11,10,12,775.48,0.0485,25,37,30
0.6219,clean,player-00301,08,1,12,806.23,0.1894,24,43,28.5
0.6219,clean,player-05606,08,2,12,801.3,0.1894,19,22,22
0.6219,clean,player-05610,08,3,12,799.6,0.1894,16,19,19
0.6219,clean,player-00385,08,4,12,799.09,0.1894,26,41,29.5
0.6219,clean,player-01041,08,5,12,786.74,0.1894,16,24,23.5
0.6219,clean,player-01154,08,6,12,786.21,0.1894,25,36,29
0.6219,clean,player-07816,08,7,12,785.83,0.1894,22,29,27.75
0.6219,clean,player-01048,08,8,12,783.34,0.1894,15,25,24
0.6219,clean,player-01158,08,9,12,783.21,0.1894,25,34,29
0.6219,clean,player-01045,08,10,12,782.61,0.1894,17,28,26.5
0.5369,clean,player-06757,02,1,12,799.51,0.1154,16,27,24.25
0.5369,clean,player-05130,02,2,12,787.65,0.1154,17,21,20.5
0.5369,clean,player-05124,02,3,12,772.96,0.1154,13,18,16.75
0.5369,clean,player-09740,02,4,12,758.4,0.1154,16,21,20.5
0.5369,clean,player-05123,02,5,12,757.23,0.1154,15,21,19.75
0.5369,clean,player-09137,02,6,12,755.3,0.1154,13,16,15.5
0.5369,clean,player-09134,02,7,12,755.07,0.1154,17,22,21.5
0.5369,clean,player-05122,02,8,12,753.84,0.1154,17,21,21
0.5369,clean,player-09081,02,9,12,751.73,0.1154,14,21,19.25
0.5369,clean,player-00767,02,10,12,749.95,0.1154,18,46,26.5
