cutoffGap,eligiblePlayers,provinceCode,provinceName,rank10Confidence,rank10High,rank10Low,rank11High,rank11Low,sameUncertaintyBand
0.89,160,20,Gipuzkoa,0.6656,754.27,704.11,756.97,689.57,true
2.71,377,48,Bizkaia,0.5033,810.23,735.72,786.23,738.93,true
0.58,404,35,Las Palmas,0.6287,802.98,747.28,794.82,747.07,true
0.02,226,30,Murcia,0.5824,791.8,729.16,797.3,735.88,true
3.98,105,47,Valladolid,0.6243,740.2,683.85,736.64,681.93,true
3.37,85,42,Soria,0.5783,767.46,704.21,766.96,696.93,true
0.89,365,03,Alicante/Alacant,0.5931,793.15,732.11,784.31,728.17,true
5.77,196,17,Girona,0.704,790.69,746.29,785.82,732.93,true
5.03,198,39,Cantabria,0.5662,773.71,708.64,768.44,710.3,true
2.64,362,29,Málaga,0.6673,821.81,771.91,826.16,762.53,true
9.65,381,41,Sevilla,0.5486,821.94,754.23,803.42,753.76,true
0.4,384,11,Cádiz,0.7313,790.2,749.89,796.72,741.23,true
0.47,429,08,Barcelona,0.6219,800.75,744.04,795.74,753.7,true
0.61,143,02,Albacete,0.5369,776.23,706.76,783.24,712.4,true
2.69,88,05,Ávila,0.5697,737.79,673.24,734.89,679.29,true
1.65,206,36,Pontevedra,0.6903,756.65,710.19,761.2,711.91,true
0.41,354,46,Valencia/València,0.5807,813.03,750.13,806.16,764.79,true
5.99,194,14,Córdoba,0.72,799.15,757.15,794.44,748.47,true
0.53,196,12,Castellón/Castelló,0.6592,763.5,712.38,771.47,719.23,true
2.06,172,15,A Coruña,0.6033,803.04,743.54,787.14,745.2,true
1.1,404,28,Madrid,0.5834,808,745.51,799.9,746.87,true
3.38,88,06,Badajoz,0.6298,748.41,692.88,754.35,689.08,true
5.15,167,50,Zaragoza,0.7158,790.7,748.07,794.08,732.7,true
3.32,150,23,Jaén,0.5889,772.35,710.69,773.72,709.03,true
1.1,176,31,Navarra,0.6361,792.82,738.23,793.97,729.27,true
1.46,126,27,Lugo,0.6468,781.89,728.91,777.96,721.12,true
0.18,95,51,Ceuta,0.6869,746.09,699.12,749.72,688.35,true
9.58,251,43,Tarragona,0.5837,801.8,739.36,790.41,722.17,true
7.29,134,38,Santa Cruz de Tenerife,0.6772,750.31,701.89,761.57,693.73,true
0.12,152,37,Salamanca,0.6394,789.94,735.85,786.64,727.77,true
0.13,137,13,Ciudad Real,0.5871,739.75,677.82,745.81,685.49,true
4.12,60,34,Palencia,0.6356,731.23,676.57,726.55,660.3,true
4.05,186,21,Huelva,0.7255,787.13,745.96,785.87,738.41,true
1.78,96,25,Lleida,0.4935,784.04,708.07,769.48,706.46,true
4.79,98,24,León,0.6121,719.15,660.96,728.97,654.95,true
1.04,204,26,La Rioja,0.5349,796.58,726.81,780.81,732.44,true
10.04,134,33,Asturias,0.7363,738.44,698.89,735.95,678.17,true
1.61,129,18,Granada,0.6991,783.9,738.76,795.85,734.64,true
1.83,184,45,Toledo,0.5504,802.5,735.06,791.98,751.65,true
5,136,01,Araba/Álava,0.7273,728.64,687.74,734.7,686.66,true
1.13,163,07,Illes Balears,0.6311,745.64,690.3,732.67,677.57,true
3.58,100,10,Cáceres,0.6085,764.82,706.1,748.61,714.82,true
1.47,97,44,Teruel,0.5891,748.29,686.66,762.19,673.76,true
0.62,50,16,Cuenca,0.5976,720.8,660.44,709.81,649.97,true
5.68,106,09,Burgos,0.6652,742.08,691.86,747.51,686.07,true
2.26,114,04,Almería,0.5372,767.32,697.9,778.27,705.91,true
3.42,59,19,Guadalajara,0.6916,734.51,688.25,729.68,682,true
0.45,183,32,Ourense,0.639,783.9,729.75,789.16,722.52,true
9.3,70,49,Zamora,0.5183,744.92,672.67,737.31,672.94,true
1.57,66,22,Huesca,0.5957,754.74,694.1,751.74,682.05,true
0.85,87,40,Segovia,0.6659,790.61,740.5,795.18,739.23,true
