autonomousCommunityRank,competition,eligible,latentSkill,nationalRank,opposition,playerId,position,provinceCode,provinceRank,quality,ratingV2,risk,score,uniqueOpponents,validChallenges
83,220.29,true,95.01,1574,109.67,player-00001,POR,20,21,317.09,91.34,10.12,647.05,19,40
16,219.43,true,97.21,442,115.17,player-00002,DEF,20,5,347.63,96.67,9.97,682.22,21,45
167,216.46,true,82.75,2906,114.55,player-00003,DEF,20,30,289.92,78.49,10.05,620.93,20,43
277,222.22,true,69.72,4602,113.26,player-00004,MC,20,56,257.5,72.86,7.42,592.98,22,42
389,221.87,true,85.23,5994,117.12,player-00005,MC,20,87,230.98,68.55,9.78,569.96,24,51
76,220.12,true,85.15,1427,113.87,player-00006,DEL,20,19,316,91.47,7.21,649.99,21,38
35,233.64,true,92.36,856,114.72,player-00007,DEF,20,11,317.68,94.84,7.75,666.05,21,43
325,219.5,true,84.49,5183,114.24,player-00008,MC,20,69,249.85,75.69,7.66,583.59,24,45
65,238.83,true,94.46,1286,114.08,player-00009,DEL,20,15,300.72,92.84,7.05,653.63,22,43
120,210.8,true,85.1,2229,113.38,player-00010,DEF,20,27,309.62,84.54,7.4,633.8,20,42
511,234.47,true,59.88,7711,121.87,player-00011,POR,48,289,179.78,56.71,6.31,536.12,22,39
632,218,true,55.8,8985,119.06,player-00012,DEF,48,359,142.1,43.04,6.16,479.15,19,35
503,235.7,true,49.38,7543,121.29,player-00013,DEF,48,285,184,52.44,7.99,540.99,22,40
252,205.69,true,67.85,4174,120.15,player-00014,MC,48,158,274.03,84.31,5.17,599.86,20,31
635,233.15,true,46.21,9003,119.96,player-00015,MC,48,361,124.23,38.28,6.85,477.34,19,33
590,230.4,true,51.67,8635,120.05,player-00016,DEL,48,339,153.42,46.17,6.61,503.86,22,42
365,235.68,true,58.69,5667,120.3,player-00017,DEF,48,217,219.87,61.24,6.78,575.85,21,41
600,214.48,true,54.66,8710,118.67,player-00018,MC,48,344,166.66,50.15,7.1,499.81,19,38
642,222.84,true,46.81,9033,120.63,player-00019,DEL,48,365,131.85,40.41,8.04,475.33,20,40
557,188.72,true,60.91,8207,121.67,player-00020,DEF,48,315,211.14,57.65,7.82,521.54,21,36
320,197.99,true,85.57,5351,118.02,player-00021,POR,35,236,264.78,74.74,5,580.79,19,37
244,186.13,true,77.26,4096,118.84,player-00022,DEF,35,181,296.06,85.3,5.14,601.04,23,46
192,194.82,true,91.62,3174,119.21,player-00023,DEF,35,146,302.44,89.6,5.81,616.47,23,39
82,200.03,true,96.64,1408,119.69,player-00024,MC,35,68,330.78,93.91,5.14,650.51,20,40
262,162.58,true,81.91,4377,118.89,player-00025,MC,35,193,314.91,86.91,5.26,596.37,20,41
224,209.99,true,70.58,3729,117.96,player-00026,DEL,35,170,279.26,84.73,6.58,607.21,20,39
38,205.58,true,98,678,120.35,player-00027,DEF,35,31,346.62,99,6.6,672.55,22,43
151,180.85,true,92.32,2505,120.14,player-00028,MC,35,116,327.75,93.9,5.62,628.74,19,42
60,203.91,true,92.51,964,121.79,player-00029,DEL,35,48,337.1,98.29,6.31,662.8,20,37
444,170.6,true,79.09,7508,119.17,player-00030,DEF,35,331,251.95,71.81,5.02,541.71,21,41
191,233.15,true,51.24,8032,117.73,player-00031,POR,30,191,175.79,50.93,4.76,526.67,21,39
136,244.22,true,55.48,6007,119.83,player-00032,DEF,30,136,205.75,62.43,6.58,569.8,20,39
208,220.5,true,47.2,8544,120.32,player-00033,DEF,30,208,167.66,48.18,5.02,508.48,21,41
167,226.68,true,63.23,7225,118.56,player-00034,MC,30,167,202.48,61.75,6.71,547.72,21,42
