quality,competition,opposition,candidateId,eligiblePlayers,rankCorrelation,scoreSkillCorrelation,top10Precision,top50Precision,top100Precision,volumeAdvantage
40,40,20,grid-40-40-20,9257,0.8068,0.748,0,0.16,0.24,0.0772
40,45,15,grid-40-45-15,9257,0.7947,0.7248,0,0.16,0.25,0.0695
45,35,20,grid-45-35-20,9257,0.8257,0.792,0,0.18,0.24,0.0791
45,40,15,grid-45-40-15,9257,0.8185,0.7735,0,0.16,0.25,0.0717
45,45,10,grid-45-45-10,9257,0.8087,0.7533,0,0.16,0.24,0.0647
50,30,20,grid-50-30-20,9257,0.8344,0.8229,0,0.18,0.24,0.0798
50,35,15,grid-50-35-15,9257,0.8313,0.8088,0,0.18,0.25,0.073
50,40,10,grid-50-40-10,9257,0.8257,0.7927,0,0.18,0.26,0.0664
55,25,20,grid-55-25-20,9257,0.8362,0.8442,0,0.18,0.24,0.0793
55,30,15,grid-55-30-15,9257,0.8364,0.8338,0,0.18,0.23,0.0733
55,35,10,grid-55-35-10,9257,0.8343,0.8215,0,0.18,0.25,0.0673
60,25,15,grid-60-25-15,9257,0.8364,0.8512,0,0.16,0.24,0.0727
60,30,10,grid-60-30-10,9257,0.837,0.842,0,0.18,0.23,0.0673
