finalRank,finalScore,integrityRisk,playerId,provinceCode,provinceRank,seasonId,uniqueOpponents,validChallenges
87,711.64,7.09,player-00158,29,3,season-2026-27,19,37
83,711.77,5.64,player-00171,02,1,season-2026-27,18,40
93,710.51,6.04,player-00174,02,3,season-2026-27,16,39
88,711.14,5.52,player-00176,02,2,season-2026-27,18,39
84,711.77,6.04,player-00195,36,1,season-2026-27,16,39
97,709.69,4.54,player-00412,29,4,season-2026-27,17,27
16,740.09,5.14,player-00563,46,1,season-2026-27,29,54
49,720.43,7.23,player-00567,46,3,season-2026-27,28,53
58,717.77,6.08,player-00570,46,5,season-2026-27,21,34
63,717.08,4.55,player-00710,11,5,season-2026-27,19,34
32,724.78,5.95,player-00741,31,1,season-2026-27,13,31
90,710.88,7.91,player-01015,11,8,season-2026-27,26,41
53,719.03,3.93,player-01037,46,4,season-2026-27,18,29
43,721.61,5.26,player-01038,46,2,season-2026-27,20,31
85,711.7,5.26,player-01154,08,8,season-2026-27,21,43
86,711.67,5.88,player-01375,21,7,season-2026-27,21,35
45,721.18,4.38,player-01438,35,5,season-2026-27,25,40
26,726.81,4.28,player-01891,14,3,season-2026-27,17,29
46,720.8,3.47,player-01897,14,5,season-2026-27,18,27
30,725.32,4.2,player-01898,14,4,season-2026-27,19,32
11,741.93,5.9,player-01934,17,1,season-2026-27,26,38
54,718.5,6.37,player-01935,17,4,season-2026-27,22,34
60,717.28,4.22,player-01937,17,6,season-2026-27,25,39
33,724.51,3.28,player-01938,17,2,season-2026-27,24,35
44,721.22,3.22,player-01939,17,3,season-2026-27,22,29
55,718.45,3.43,player-01940,17,5,season-2026-27,22,30
79,713.28,6,player-02051,12,1,season-2026-27,12,21
19,733.58,3.69,player-02294,35,2,season-2026-27,20,31
9,742.41,3.38,player-02296,35,1,season-2026-27,23,34
94,710.48,5.83,player-02456,11,9,season-2026-27,20,34
48,720.5,5.38,player-02793,38,2,season-2026-27,20,38
36,723.33,3.99,player-02800,38,1,season-2026-27,16,26
14,741.76,3.06,player-02859,48,1,season-2026-27,17,24
98,709.65,3.26,player-02996,11,10,season-2026-27,22,32
47,720.8,4.84,player-03000,11,3,season-2026-27,22,32
