gap,provinceCode,rank10,rank11
3.994186,20,745.27,741.27
0.192372,48,762.15,761.96
1.089246,35,777.5,776.41
1.206409,30,759.76,758.55
3.292951,47,738.65,735.36
0.225081,42,734.83,734.6
1.176215,03,771.14,769.96
5.285842,17,773.16,767.88
3.156986,39,761.61,758.45
0.791916,29,785.14,784.35
1.77087,41,791.66,789.89
0.185753,11,793.78,793.59
2.158728,08,791.71,789.55
0.708337,02,745.93,745.23
4.551273,05,742.59,738.03
0.226099,36,716.73,716.51
0.867106,46,776.02,775.16
3.182662,14,783.35,780.17
3.08089,12,753.95,750.86
10.21298,15,777.55,767.34
9.321846,28,777.08,767.76
5.605903,06,733.02,727.42
2.608261,50,777.83,775.22
0.033866,23,733.65,733.61
0.626628,31,763.1,762.47
7.466078,27,754.97,747.51
1.356726,51,717.86,716.5
2.812312,43,759.74,756.93
0.342277,38,723.63,723.29
2.00093,37,766.48,764.48
0.253017,13,728.9,728.65
0.054953,34,678.43,678.38
9.561538,21,779.41,769.85
1.093352,25,756.89,755.8
5.135816,24,667.8,662.66
5.648882,26,774.35,768.7
3.408111,52,639.51,636.1
8.239498,33,729.39,721.15
7.64413,18,753.88,746.23
0.155731,45,764.94,764.78
7.960033,01,707.48,699.52
0.476145,07,741.23,740.75
9.33777,10,729.51,720.17
0.582699,44,738.36,737.77
10.834038,16,691.64,680.8
4.795482,09,724.99,720.19
2.887377,04,732.53,729.65
1.820002,19,710.98,709.16
1.048323,32,749.73,748.68
0.953757,49,692.83,691.88
0.822204,22,718.61,717.79
3.989096,40,746,742.01
