communityNdcg10Median,communityRecall20Median,nationalTop100Ndcg,nationalTop10Ndcg,predictiveUpliftTop100,provinceNdcg10Median,provinceRecall20Median,seed,top10Contamination5pct
0.7448,0.8,0.8805,0.2327,11.6046,0.7602,0.9,20260809,0
0.7056,0.8,0.8873,0.6726,12.3673,0.7817,0.9,20268728,0
0.6991,0.8,0.8783,0.6079,12.7357,0.823,0.9,20276647,0
0.7192,0.7,0.8704,0.3109,11.8144,0.7856,0.8,20284566,0
0.7769,0.8,0.9286,0.7491,12.7562,0.7984,0.9,20292485,0
0.7243,0.8,0.8511,0.3811,12.1815,0.7972,0.9,20300404,0
0.7936,0.9,0.8592,0.4786,11.5464,0.7892,0.9,20308323,0
0.7492,0.8,0.8562,0.3361,11.8815,0.7878,0.9,20316242,0
0.7772,0.8,0.8751,0.1211,11.9017,0.7864,0.9,20324161,0
0.73,0.8,0.8959,0.3841,11.2392,0.78,0.9,20332080,0
0.7579,0.8,0.8624,0.457,12.2814,0.7925,0.9,20339999,0
0.7279,0.8,0.8922,0.506,12.3476,0.7986,0.9,20347918,0
0.7675,0.8,0.8504,0.443,12.8741,0.7614,0.9,20355837,0
0.7315,0.8,0.7917,0.0984,12.505,0.7687,0.9,20363756,0
0.8242,0.9,0.8739,0.6475,12.5858,0.7956,0.9,20371675,0
0.7799,0.8,0.9015,0.5878,12.6437,0.8462,0.9,20379594,0
0.6962,0.8,0.9013,0.3641,12.7681,0.798,0.9,20387513,0
0.7988,0.8,0.8427,0.5673,12.7501,0.7656,0.9,20395432,0
0.7136,0.8,0.8697,0.5296,12.3408,0.7849,0.9,20403351,0
0.7788,0.8,0.8811,0.5257,12.0104,0.792,0.9,20411270,0
0.6784,0.8,0.7886,0.1818,11.688,0.7871,0.9,20419189,0
0.7669,0.8,0.8583,0.5883,12.1739,0.7747,0.9,20427108,0
0.6941,0.7,0.8848,0.2894,12.4371,0.8162,0.9,20435027,0
0.7966,0.9,0.8832,0.3074,11.8656,0.7821,0.8,20442946,0
0.7307,0.7,0.8755,0.3314,12.1098,0.7513,0.9,20450865,0
0.6865,0.8,0.8665,0.2306,11.6492,0.7913,0.9,20458784,0
0.6971,0.8,0.8861,0.1719,12.4443,0.8046,0.9,20466703,0
0.7171,0.8,0.8674,0.5538,12.5523,0.7928,0.9,20474622,0
0.6932,0.8,0.8838,0.2346,12.025,0.7969,0.8,20482541,0
0.7386,0.9,0.9167,0.6513,13.4621,0.797,0.9,20490460,0
