certifiedTop10Contamination,cheaterTop10Ids,cheaters,highRiskTop10,pendingTop10,provinceCode,rate,strategy,top10Contamination
0,,0,0,0,08,0,control,0
0,,0,0,0,08,0,score_penalty,0
0,,0,0,0,08,0,evidence_exclusion,0
0,,0,0,0,08,0,certification_hold,0
0,,0,0,0,08,0,penalty_and_hold,0
0,,0,0,0,08,0,exclusion_and_hold,0
0,,4,0,0,08,0.01,control,0
0,,4,0,0,08,0.01,score_penalty,0
0,,4,0,0,08,0.01,evidence_exclusion,0
0,,4,0,0,08,0.01,certification_hold,0
0,,4,0,0,08,0.01,penalty_and_hold,0
0,,4,0,0,08,0.01,exclusion_and_hold,0
0,attack-opponent_boost-0.02-4,8,0,0,08,0.02,control,0.1
0,attack-opponent_boost-0.02-4,8,0,0,08,0.02,score_penalty,0.1
0,,8,0,0,08,0.02,evidence_exclusion,0
0,attack-opponent_boost-0.02-4,8,0,0,08,0.02,certification_hold,0.1
0,attack-opponent_boost-0.02-4,8,0,0,08,0.02,penalty_and_hold,0.1
0,,8,0,0,08,0.02,exclusion_and_hold,0
0,attack-opponent_boost-0.05-12|attack-opponent_boost-0.05-4,20,0,0,08,0.05,control,0.2
0,attack-opponent_boost-0.05-12|attack-opponent_boost-0.05-4,20,0,0,08,0.05,score_penalty,0.2
0,,20,0,0,08,0.05,evidence_exclusion,0
0,attack-opponent_boost-0.05-12|attack-opponent_boost-0.05-4,20,0,0,08,0.05,certification_hold,0.2
0,attack-opponent_boost-0.05-12|attack-opponent_boost-0.05-4,20,0,0,08,0.05,penalty_and_hold,0.2
0,,20,0,0,08,0.05,exclusion_and_hold,0
0,attack-opponent_boost-0.1-12|attack-opponent_boost-0.1-20|attack-opponent_boost-0.1-28|attack-opponent_boost-0.1-36|attack-opponent_boost-0.1-4,40,0,0,08,0.1,control,0.5
0,attack-opponent_boost-0.1-12|attack-opponent_boost-0.1-20|attack-opponent_boost-0.1-28|attack-opponent_boost-0.1-36|attack-opponent_boost-0.1-4,40,0,0,08,0.1,score_penalty,0.5
0,,40,0,0,08,0.1,evidence_exclusion,0
0,attack-opponent_boost-0.1-12|attack-opponent_boost-0.1-20|attack-opponent_boost-0.1-28|attack-opponent_boost-0.1-36|attack-opponent_boost-0.1-4,40,0,0,08,0.1,certification_hold,0.5
0,attack-opponent_boost-0.1-12|attack-opponent_boost-0.1-20|attack-opponent_boost-0.1-28|attack-opponent_boost-0.1-36|attack-opponent_boost-0.1-4,40,0,0,08,0.1,penalty_and_hold,0.5
0,,40,0,0,08,0.1,exclusion_and_hold,0
