top10,top50,top100,week
0,0,0,8
1,1,1,9
0.7,0.6667,0.6667,10
0.7,0.5714,0.5714,11
0.4,0.36,0.44,12
0.8,0.54,0.53,13
0.5,0.34,0.3,14
0.3,0.36,0.35,15
0.1,0.38,0.3,16
0.3,0.28,0.23,17
0.4,0.3,0.29,18
0.1,0.24,0.21,19
0.4,0.22,0.2,20
0.3,0.2,0.26,21
0.2,0.28,0.3,22
0.1,0.18,0.15,23
0,0.18,0.2,24
0.3,0.24,0.18,25
0.3,0.18,0.2,26
0.3,0.16,0.14,27
0.2,0.16,0.12,28
0.2,0.16,0.15,29
0.2,0.1,0.13,30
0.2,0.1,0.15,31
0.3,0.18,0.13,32
0.3,0.12,0.14,33
0.4,0.08,0.14,34
0.3,0.18,0.13,35
0.2,0.14,0.1,36
0.4,0.12,0.14,37
0.3,0.16,0.16,38
0.3,0.2,0.15,39
0.4,0.22,0.15,40
0.3,0.14,0.14,41
0.1,0.14,0.13,42
0.4,0.18,0.13,43
0.1,0.12,0.12,44
0.2,0.14,0.07,45
0.3,0.14,0.11,46
0.3,0.14,0.13,47
0.5,0.12,0.11,48
0,0,0,49
0,0,0,50
0,0,0.01,51
0,0,0,52
